Director,Tier,CareerPhase,Region,PrimaryLane,SecondaryLanes,ScaleProven,TonalDNA,Last3Features,LastFilm,LastFilmYear,LastFilmType,NextProject,NextStatus,ActorMagnet,PackagingNotes,OpsNotes,ResearchStatus,SeededOn,WikipediaSearch,IMDbSearch,TheNumbersURL,Last3_Source,Film1_Title,Film1_ReleaseDate,Film1_DomesticGrossUSD,Film1_IntlGrossUSD,Film1_WWGrossUSD,Film2_Title,Film2_ReleaseDate,Film2_DomesticGrossUSD,Film2_IntlGrossUSD,Film2_WWGrossUSD,Film3_Title,Film3_ReleaseDate,Film3_DomesticGrossUSD,Film3_IntlGrossUSD,Film3_WWGrossUSD,LastFilmWWGrossUSD,BudgetBandTypical,BudgetBandLowUSD,BudgetBandHighUSD,id,director_qid,tier_ai,tier_ai_confidence,tier_ai_as_of,availability_ai,availability_ai_confidence,availability_ai_as_of,ai_evidence_urls,reps_manual,internal_notes,exclude,watchlist_priority
Tony Gilroy,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Tony+Gilroy,https://www.imdb.com/find/?q=Tony+Gilroy&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:ff46b4f2d667aea493d870bebc6a1d9809f56b70,,,,,,,,,,,,
Travis Knight,T2,Established,US/Intl,Family,"Fantasy,Adventure,Animation",Studio/Tentpole,"accessible, emotional",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Travis+Knight,https://www.imdb.com/find/?q=Travis+Knight&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:7491942b3a81fd6fa66bd60b0374b4a3b287efe4,,,,,,,,,,,,
Wes Anderson,T2,Established,US/UK,Comedy,"Action-comedy,Drama",Mid/Studio,"comedic, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Wes+Anderson,https://www.imdb.com/find/?q=Wes+Anderson&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:6369aa21ca62a57905b81861d5472f04026c73e9,,,,,,,,,,,,
Yorgos Lanthimos,T2,Peak (prestige + stars),,Dark comedy / prestige drama,Thriller,$20M–$60M,"Absurdist, deadpan, stylized",Bugonia (2025); Poor Things (2023); The Favourite (2018),Bugonia,2025,Theatrical,TBA,TBD,4,Star-friendly prestige lane; unique tone can polarize.,Stylized performance requirements.,In TOP sheet,2026-01-29,https://en.wikipedia.org/w/index.php?search=Yorgos+Lanthimos,https://www.imdb.com/find/?q=Yorgos+Lanthimos&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:4d11b2c1d0b745ddddc3a2f9f9d068f9ee9fa0d6,,,,,,,,,,,,
Zack Snyder,T2,Established,US/Intl,Action,"Thriller/Mystery,Crime/Heist",Studio/Mid,"propulsive, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Zack+Snyder,https://www.imdb.com/find/?q=Zack+Snyder&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:611fa45b493b4e3f92b183c4e42a55ef72c9cfdf,,,,,,,,,,,,
Adam Robitel,T3,Established (high output),US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Adam+Robitel,https://www.imdb.com/find/?q=Adam+Robitel&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:c73ae73972a61b312baa400d5f386bf84f3094c7,,,,,,,,,,,,
Adam Wingard,T3,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Adam+Wingard,https://www.imdb.com/find/?q=Adam+Wingard&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:f6ae541c268cde4d20c3d48f1a5ab83c7176c685,,,,,,,,,,,,
Andrea Berloff,T3,Established,US/Intl,Thriller/Mystery,"Crime/Heist,Drama",Low/Mid,"tense, grounded",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Andrea+Berloff,https://www.imdb.com/find/?q=Andrea+Berloff&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:8de998920003fa6e25c45e7dea5dc17dd08e4de9,,,,,,,,,,,,
Andy Fickman,T3,Established (high output),US/Intl,Comedy,"Romantic comedy,Action-comedy",Low/Mid,"broad, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Andy+Fickman,https://www.imdb.com/find/?q=Andy+Fickman&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:d057bf833643bd5eb56ece3eaadc0501c8e6afc1,,,,,,,,,,,,
Anna Foerster,T3,Established (high output),US/Intl,Action,Thriller/Mystery,Mid/Studio,"efficient, propulsive",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Anna+Foerster,https://www.imdb.com/find/?q=Anna+Foerster&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:cc5fb86cef9b1fcb860d75801fcc9706dca931d8,,,,,,,,,,,,
Anne Fletcher,T3,Established (high output),US/Intl,Comedy,"Romantic comedy,Action-comedy",Low/Mid,"broad, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Anne+Fletcher,https://www.imdb.com/find/?q=Anne+Fletcher&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:e753fe4be2b93d12ce03b141be397ce58417d234,,,,,,,,,,,,
Anthony Scott Burns,T3,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Anthony+Scott+Burns,https://www.imdb.com/find/?q=Anthony+Scott+Burns&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:8b5b94fe1074215f45fefca020ca7ee8b2222673,,,,,,,,,,,,
Babak Najafi,T3,Established (high output),US/Intl,Action,Thriller/Mystery,Mid/Studio,"efficient, propulsive",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Babak+Najafi,https://www.imdb.com/find/?q=Babak+Najafi&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:494a1c8755ac27353bf4a807e127d5cce0ff3ffd,,,,,,,,,,,,
Baz Luhrmann,T3,Established,US/Intl,Musical,"Drama,Comedy",Mid/Studio,music-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Baz+Luhrmann,https://www.imdb.com/find/?q=Baz+Luhrmann&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:8e58f8f8616778777068df1e9557ac7dc27765f4,,,,,,,,,,,,
Ben Affleck,T3,Established,US/Intl,Thriller/Mystery,"Crime/Heist,Drama",Low/Mid,"tense, grounded",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Ben+Affleck,https://www.imdb.com/find/?q=Ben+Affleck&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:2418fba3eb068fbe1b180a0e727672df6b3260e3,,,,,,,,,,,,
Ben Wheatley,T3,Established,US/Intl,Thriller/Mystery,"Crime/Heist,Drama",Low/Mid,"tense, grounded",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Ben+Wheatley,https://www.imdb.com/find/?q=Ben+Wheatley&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:08d7ab04dc31712faf4d0b99027fa41a39b53052,,,,,,,,,,,,
Bill Condon,T3,Established,US/UK,Drama,"Biopic,Prestige drama",Mid,character-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Bill+Condon,https://www.imdb.com/find/?q=Bill+Condon&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:e9fdc1145186249e2fdadfc699790f0c7b6b3bf3,,,,,,,,,,,,
Billie Woodruff,T3,Established,US/Intl,Musical,"Drama,Comedy",Mid/Studio,music-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Billie+Woodruff,https://www.imdb.com/find/?q=Billie+Woodruff&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:bd7ebe01cecf3c6328b7bd8ecc72fdddeba43e1f,,,,,,,,,,,,
Bobby Farrelly,T3,Established (high output),US/Intl,Comedy,"Romantic comedy,Action-comedy",Low/Mid,"broad, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Bobby+Farrelly,https://www.imdb.com/find/?q=Bobby+Farrelly&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:1161f2cc5bdb55d8830c71f01bdcc497d0f65947,,,,,,,,,,,,
Brad Anderson,T3,Established (high output),US/Intl,Action,Thriller/Mystery,Mid/Studio,"efficient, propulsive",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Brad+Anderson,https://www.imdb.com/find/?q=Brad+Anderson&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:ae6949396bcf7bc82d87ef1b18dc1659824f5338,,,,,,,,,,,,
Brad Furman,T3,Established,US/UK,Drama,"Biopic,Prestige drama",Mid,character-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Brad+Furman,https://www.imdb.com/find/?q=Brad+Furman&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:600716ac6e273f1526da224cbc80116b41be3536,,,,,,,,,,,,
Brad Peyton,T3,Established (high output),US/Intl,Action,Thriller/Mystery,Mid/Studio,"efficient, propulsive",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Brad+Peyton,https://www.imdb.com/find/?q=Brad+Peyton&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:a768fd9860f785348ac22a6e79bfc36ea3513873,,,,,,,,,,,,
Breck Eisner,T3,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Breck+Eisner,https://www.imdb.com/find/?q=Breck+Eisner&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:993db0df3f57cee3aa33cc22bd42720bb3cde9fd,,,,,,,,,,,,
Brian Robbins,T3,Established,US/UK,Romantic comedy,"Comedy,Drama",Mid/Studio,"warm, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Brian+Robbins,https://www.imdb.com/find/?q=Brian+Robbins&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:538fa1346545bdd6165c3e85b3ba3922c473eab4,,,,,,,,,,,,
Bryan Woods,T3,Established (high output),US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Bryan+Woods,https://www.imdb.com/find/?q=Bryan+Woods&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:68cca03bccd9f34ad6ff0aa2eacf0dac081086b0,,,,,,,,,,,,
Chris Weitz,T3,Established (high output),US/Intl,Comedy,"Romantic comedy,Action-comedy",Low/Mid,"broad, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Chris+Weitz,https://www.imdb.com/find/?q=Chris+Weitz&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:1a467c74cd88598c48dd51307003a15d3fb06c2b,,,,,,,,,,,,
Christian Gudegast,T3,Established (high output),US/Intl,Action,Thriller/Mystery,Mid/Studio,"efficient, propulsive",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Christian+Gudegast,https://www.imdb.com/find/?q=Christian+Gudegast&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:194a8f4e3e7f05e032cb9b548bea2248a037ebdb,,,,,,,,,,,,
Christopher Landon,T3,Established (high output),US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Christopher+Landon,https://www.imdb.com/find/?q=Christopher+Landon&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:49a0225da0942505085887097d15953dd015c0c2,,,,,,,,,,,,
Clint Eastwood,T3,Established,US/UK,Drama,"Biopic,Prestige drama",Mid,character-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Clint+Eastwood,https://www.imdb.com/find/?q=Clint+Eastwood&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:b6164724935c9b062af10d434152da5a8ddf5f9a,,,,,,,,,,,,
Corin Hardy,T3,Established (high output),US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Corin+Hardy,https://www.imdb.com/find/?q=Corin+Hardy&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:b2fe5e216e7922eaf4bc2defe8b0251d2fdb37d7,,,,,,,,,,,,
Craig Johnson,T3,Established (high output),US/Intl,Comedy,"Romantic comedy,Action-comedy",Low/Mid,"broad, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Craig+Johnson,https://www.imdb.com/find/?q=Craig+Johnson&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:226f975ada0694db0e60067138395718766fccd1,,,,,,,,,,,,
Darren Lynn Bousman,T3,Established (high output),US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Darren+Lynn+Bousman,https://www.imdb.com/find/?q=Darren+Lynn+Bousman&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:27e9fcac00b7d58451d3d707e40b1ffa0f383192,,,,,,,,,,,,
David Bruckner,T3,Established (high output),US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=David+Bruckner,https://www.imdb.com/find/?q=David+Bruckner&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:e0438a613e12a9bb75795773f994c962e030680a,,,,,,,,,,,,
David Michôd,T3,Established,US/Intl,Thriller/Mystery,"Crime/Heist,Drama",Low/Mid,"tense, grounded",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=David+Mich%C3%B4d,https://www.imdb.com/find/?q=David+Mich%C3%B4d&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:c14d1da1ff5d52ad5833d2e47f5757992134df6c,,,,,,,,,,,,
David O. Russell,T3,Established,US/UK,Drama,"Biopic,Prestige drama",Mid,character-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=David+O.+Russell,https://www.imdb.com/find/?q=David+O.+Russell&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:fdc434a594e56a5467f1665acc3a5f5c525c7b4e,,,,,,,,,,,,
David Prior,T3,Established,US/Intl,Thriller/Mystery,"Crime/Heist,Drama",Low/Mid,"tense, grounded",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=David+Prior,https://www.imdb.com/find/?q=David+Prior&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:69e6cff2effb98cbc20ac9439dbacc6b4d66be91,,,,,,,,,,,,
David Robert Mitchell,T3,Established (high output),US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=David+Robert+Mitchell,https://www.imdb.com/find/?q=David+Robert+Mitchell&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:57bcb57168be6d4286faa734094bae0449a4d2b3,,,,,,,,,,,,
David Twohy,T3,Established (high output),US/Intl,Action,Thriller/Mystery,Mid/Studio,"efficient, propulsive",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=David+Twohy,https://www.imdb.com/find/?q=David+Twohy&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:b729b6ebf0a5d5af3ea7c1d18a8e6dfde0ac0abf,,,,,,,,,,,,
David Wain,T3,Established (high output),US/Intl,Comedy,"Romantic comedy,Action-comedy",Low/Mid,"broad, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=David+Wain,https://www.imdb.com/find/?q=David+Wain&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:2eaab3c07c84ee6e33d77934628b8c5a1cb560a3,,,,,,,,,,,,
David Yarovesky,T3,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=David+Yarovesky,https://www.imdb.com/find/?q=David+Yarovesky&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:099c39389c5c1d79ecdbfb075734551e91030825,,,,,,,,,,,,
Dennis Dugan,T3,Established (high output),US/Intl,Comedy,"Romantic comedy,Action-comedy",Low/Mid,"broad, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Dennis+Dugan,https://www.imdb.com/find/?q=Dennis+Dugan&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:e229fc44a10a335b2bdba30dd58b64c8171f3c75,,,,,,,,,,,,
Denzel Washington,T3,Established,US/UK,Drama,"Biopic,Prestige drama",Mid,character-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Denzel+Washington,https://www.imdb.com/find/?q=Denzel+Washington&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:84d6d3e8d5c72406b85df1c26c5f17028864eb45,,,,,,,,,,,,
Dexter Fletcher,T3,Established,US/Intl,Musical,"Drama,Comedy",Mid/Studio,music-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Dexter+Fletcher,https://www.imdb.com/find/?q=Dexter+Fletcher&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:7af5d6fcabfe6a5c08c897acd1c3e3244a3b4bb6,,,,,,,,,,,,
Drew Goddard,T3,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Drew+Goddard,https://www.imdb.com/find/?q=Drew+Goddard&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:8090e39a85575877afc70459e9a787f51fc6427c,,,,,,,,,,,,
Garth Davis,T3,Established,US/UK,Drama,"Biopic,Prestige drama",Mid,character-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Garth+Davis,https://www.imdb.com/find/?q=Garth+Davis&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:f4760f77eeb810558558244660f86ed7e1eec115,,,,,,,,,,,,
Gary Fleder,T3,Established (high output),US/Intl,Action,Thriller/Mystery,Mid/Studio,"efficient, propulsive",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Gary+Fleder,https://www.imdb.com/find/?q=Gary+Fleder&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:05ba447e6dcd7cb7e58e944595138e29486a0f0e,,,,,,,,,,,,
George Clooney,T3,Established,US/UK,Drama,"Biopic,Prestige drama",Mid,character-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=George+Clooney,https://www.imdb.com/find/?q=George+Clooney&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:312ad1e45a4bea4cf6f2f7d73c38943f467ac6a1,,,,,,,,,,,,
Gerard Johnstone,T3,Established (high output),US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Gerard+Johnstone,https://www.imdb.com/find/?q=Gerard+Johnstone&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:3879e100a7dd7eb2f4e9b3fcd6784d31356fb045,,,,,,,,,,,,
Greg Berlanti,T3,Established,US/UK,Romantic comedy,"Comedy,Drama",Mid/Studio,"warm, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Greg+Berlanti,https://www.imdb.com/find/?q=Greg+Berlanti&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:9e64852e34a650404387d2cf0486ed2c5858ad5b,,,,,,,,,,,,
Gregor Jordan,T3,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Gregor+Jordan,https://www.imdb.com/find/?q=Gregor+Jordan&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:a435d09da5bcdef1ee0a2b018b9fc1a267f35a6f,,,,,,,,,,,,
Hans Petter Moland,T3,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Hans+Petter+Moland,https://www.imdb.com/find/?q=Hans+Petter+Moland&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:f936f0675c565a9388391976dbda0935cd79bc2e,,,,,,,,,,,,
Ilya Naishuller,T3,Established (high output),US/Intl,Action,Thriller/Mystery,Mid/Studio,"efficient, propulsive",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Ilya+Naishuller,https://www.imdb.com/find/?q=Ilya+Naishuller&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:a9e9ec00586b4798e5d5499754bc4dd7c5ec31ee,,,,,,,,,,,,
Isaac Florentine,T3,Established (high output),US/Intl,Action,Thriller/Mystery,Mid/Studio,"efficient, propulsive",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Isaac+Florentine,https://www.imdb.com/find/?q=Isaac+Florentine&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:aaffb7fe482e5895a7ce165a9da1af7edb3e369b,,,,,,,,,,,,
J. Blakeson,T3,Established,US/Intl,Thriller/Mystery,"Crime/Heist,Drama",Low/Mid,"tense, grounded",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=J.+Blakeson,https://www.imdb.com/find/?q=J.+Blakeson&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:541bdd0d0f2f2543985b35679d85789e83e15082,,,,,,,,,,,,
J. J. Perry,T3,Established (high output),US/Intl,Action,Thriller/Mystery,Mid/Studio,"efficient, propulsive",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=J.+J.+Perry,https://www.imdb.com/find/?q=J.+J.+Perry&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:c3d1c8f75a79b641f7099354167ef6ab208afce4,,,,,,,,,,,,
Jake Szymanski,T3,Established (high output),US/Intl,Comedy,"Romantic comedy,Action-comedy",Low/Mid,"broad, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Jake+Szymanski,https://www.imdb.com/find/?q=Jake+Szymanski&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:0c15992f41bb615795ff985900c5c978320ad477,,,,,,,,,,,,
James Watkins,T3,Established,US/Intl,Thriller/Mystery,"Crime/Heist,Drama",Low/Mid,"tense, grounded",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=James+Watkins,https://www.imdb.com/find/?q=James+Watkins&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:5283671ddf551601d66189364f06e1f3aa5b6358,,,,,,,,,,,,
Jason Bateman,T3,Established,US/UK,Drama,"Biopic,Prestige drama",Mid,character-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Jason+Bateman,https://www.imdb.com/find/?q=Jason+Bateman&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:079e917ceeabd65502511ee6a1f32d86640d7be4,,,,,,,,,,,,
Jason Moore,T3,Established,US/UK,Romantic comedy,"Comedy,Drama",Mid/Studio,"warm, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Jason+Moore,https://www.imdb.com/find/?q=Jason+Moore&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:83004faad3c0f9c270ab2a7b2eaa32bcef78b4c2,,,,,,,,,,,,
Jay Roach,T3,Established,US/UK,Romantic comedy,"Comedy,Drama",Mid/Studio,"warm, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Jay+Roach,https://www.imdb.com/find/?q=Jay+Roach&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:7cd8e5345e4ae802231ae67746ba2e1fc1c9bd87,,,,,,,,,,,,
Jeff Wadlow,T3,Established (high output),US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Jeff+Wadlow,https://www.imdb.com/find/?q=Jeff+Wadlow&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:a5113251b221197e5ecab3b4cb1d1202624a3e2b,,,,,,,,,,,,
Jeremy Saulnier,T3,Established,US/Intl,Thriller/Mystery,"Crime/Heist,Drama",Low/Mid,"tense, grounded",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Jeremy+Saulnier,https://www.imdb.com/find/?q=Jeremy+Saulnier&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:df81941b243fd30564157d945125331b05453403,,,,,,,,,,,,
Jesse Peretz,T3,Established (high output),US/Intl,Comedy,"Romantic comedy,Action-comedy",Low/Mid,"broad, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Jesse+Peretz,https://www.imdb.com/find/?q=Jesse+Peretz&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:c1ba438583713ddeb63cb42d97ebb85c4548b4e4,,,,,,,,,,,,
Jesse V. Johnson,T3,Established (high output),US/Intl,Action,Thriller/Mystery,Mid/Studio,"efficient, propulsive",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Jesse+V.+Johnson,https://www.imdb.com/find/?q=Jesse+V.+Johnson&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:cb6f08594f7aad0574ec24f9828c7f12e851a568,,,,,,,,,,,,
Jim Gillespie,T3,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Jim+Gillespie,https://www.imdb.com/find/?q=Jim+Gillespie&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:47e5514bcbb693b19b99805843f87645daece3ba,,,,,,,,,,,,
Jim Mickle,T3,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Jim+Mickle,https://www.imdb.com/find/?q=Jim+Mickle&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:65c6dee0410a5fbf49c5935eb9c7d738becf3fb8,,,,,,,,,,,,
Joe Wright,T3,Established,US/UK,Drama,"Biopic,Prestige drama",Mid,character-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Joe+Wright,https://www.imdb.com/find/?q=Joe+Wright&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:64cbbd9bc7d6df319e02616dd1ceb3bb0dc427f3,,,,,,,,,,,,
